molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value,assay_chembl_id,assay_description,data_validity_comment,document_year,document_chembl_id,target_chembl_id,potential_duplicate,dataset,molecule_pref_name,pchembl,std_smiles
CHEMBL3261881,CC(C)=CCC/C(C)=C/COCCNC1C2CC3CC(C2)CC1C3,IC50,2800.0,nM,=,5.55,CHEMBL5333915,Antimycobacterial activity against Mycobacterium tuberculosis HN878 assessed as inhibition of mycobacterial growth incubated for 5 days in presence of 50 uM undecaprenyl phosphate,,2023,CHEMBL5331106,CHEMBL360,0,Mtb_whole_cell,,5.55,CC(C)=CCC/C(C)=C/COCCNC1C2CC3CC(C2)CC1C3
CHEMBL4757243,FC(F)(F)c1ccc(Oc2ccc(Nc3ncnc4ccccc34)cc2)cc1,IC50,2800.0,nM,=,5.55,CHEMBL5346684,Antibacterial activity against Mycobacterium tuberculosis H37Rv cytochrome bd oxidase assessed as reduction in total cellular ATP level,,2024,CHEMBL5344478,CHEMBL360,0,Mtb_whole_cell,,5.55,FC(F)(F)c1ccc(Oc2ccc(Nc3ncnc4ccccc34)cc2)cc1
CHEMBL4781667,CCCCNc1nc(CC)nc2sc(C)cc12,IC50,2700.0,nM,=,5.57,CHEMBL5361032,Antimycobacterial activity against Mycobacterium tuberculosis assessed as bacterial growth inhibition by microplate alamarBlue assay,,2023,CHEMBL5360529,CHEMBL360,0,Mtb_whole_cell,,5.57,CCCCNc1nc(CC)nc2sc(C)cc12
CHEMBL5414777,O=C(O)C1CSc2c(C3CC3)c(-c3cc(-c4cccc(C(F)(F)F)c4)no3)cc(=O)n21,IC50,3040.0,nM,=,5.52,CHEMBL5363916,Antimycobacterial activity against Mycobacterium tuberculosis Erdman assessed as inhibition of respiration incubated for 1 week by resazurin dye based microplate alamar blue assay,,2023,CHEMBL5360619,CHEMBL360,0,Mtb_whole_cell,,5.52,O=C(O)C1CSc2c(C3CC3)c(-c3cc(-c4cccc(C(F)(F)F)c4)no3)cc(=O)n21
CHEMBL5429356,O=C(O)C1CSc2c(C3CC3)c(-c3cc(-c4cccc5ccccc45)on3)cc(=O)n21,IC50,3900.0,nM,=,5.41,CHEMBL5363916,Antimycobacterial activity against Mycobacterium tuberculosis Erdman assessed as inhibition of respiration incubated for 1 week by resazurin dye based microplate alamar blue assay,,2023,CHEMBL5360619,CHEMBL360,0,Mtb_whole_cell,,5.41,O=C(O)C1CSc2c(C3CC3)c(-c3cc(-c4cccc5ccccc45)on3)cc(=O)n21
CHEMBL5411206,O=C(O)C1CSc2c(C3CC3)c(CSc3nnc(-c4ccc5ccccc5c4)o3)cc(=O)n21,IC50,3530.0,nM,=,5.45,CHEMBL5363916,Antimycobacterial activity against Mycobacterium tuberculosis Erdman assessed as inhibition of respiration incubated for 1 week by resazurin dye based microplate alamar blue assay,,2023,CHEMBL5360619,CHEMBL360,0,Mtb_whole_cell,,5.45,O=C(O)C1CSc2c(C3CC3)c(CSc3nnc(-c4ccc5ccccc5c4)o3)cc(=O)n21
CHEMBL5435009,COc1ccc(-c2cc(-c3cc(=O)n4c(c3C3CC3)SCC4C(=O)O)on2)cc1,IC50,2620.0,nM,=,5.58,CHEMBL5363916,Antimycobacterial activity against Mycobacterium tuberculosis Erdman assessed as inhibition of respiration incubated for 1 week by resazurin dye based microplate alamar blue assay,,2023,CHEMBL5360619,CHEMBL360,0,Mtb_whole_cell,,5.58,COc1ccc(-c2cc(-c3cc(=O)n4c(c3C3CC3)SCC4C(=O)O)on2)cc1
CHEMBL5411791,CC(C)(C)c1cc(-c2cc(-c3cc(=O)n4c(c3C3CC3)SCC4C(=O)O)on2)cc(C(C)(C)C)c1,IC50,3130.0,nM,=,5.5,CHEMBL5363916,Antimycobacterial activity against Mycobacterium tuberculosis Erdman assessed as inhibition of respiration incubated for 1 week by resazurin dye based microplate alamar blue assay,,2023,CHEMBL5360619,CHEMBL360,0,Mtb_whole_cell,,5.5,CC(C)(C)c1cc(-c2cc(-c3cc(=O)n4c(c3C3CC3)SCC4C(=O)O)on2)cc(C(C)(C)C)c1
CHEMBL5433165,O=C(O)C1CSc2c(C3CC3)c(-c3cc(-c4ccc(F)c5ccccc45)no3)cc(=O)n21,IC50,4000.0,nM,=,5.4,CHEMBL5363916,Antimycobacterial activity against Mycobacterium tuberculosis Erdman assessed as inhibition of respiration incubated for 1 week by resazurin dye based microplate alamar blue assay,,2023,CHEMBL5360619,CHEMBL360,0,Mtb_whole_cell,,5.4,O=C(O)C1CSc2c(C3CC3)c(-c3cc(-c4ccc(F)c5ccccc45)no3)cc(=O)n21
CHEMBL5405195,CC(C)(C)c1ccc(-c2cc(-c3cc(=O)n4c(c3C3CC3)SCC4C(=O)O)on2)cc1,IC50,3774.0,nM,=,5.42,CHEMBL5363916,Antimycobacterial activity against Mycobacterium tuberculosis Erdman assessed as inhibition of respiration incubated for 1 week by resazurin dye based microplate alamar blue assay,,2023,CHEMBL5360619,CHEMBL360,0,Mtb_whole_cell,,5.42,CC(C)(C)c1ccc(-c2cc(-c3cc(=O)n4c(c3C3CC3)SCC4C(=O)O)on2)cc1
CHEMBL5413205,O=C(O)C1CSc2c(C3CC3)c(-c3cc(-c4ccc5ccccc5c4)no3)cc(=O)n21.c1c[nH]cn1,IC50,3467.0,nM,=,5.46,CHEMBL5363930,Inhibition of biofilm formation in Mycobacterium tuberculosis Erdman assessed as inhibition of biofilm pellicle formation pretreated for 3 weeks under low oxygen and further treated for 3 weeks under aerated condition by optical density based analysis,,2023,CHEMBL5360619,CHEMBL360,0,Mtb_whole_cell,,5.46,O=C(O)C1CSc2c(C3CC3)c(-c3cc(-c4ccc5ccccc5c4)no3)cc(=O)n21
CHEMBL6171189,CCOC(=O)COc1cc(OCC(=O)OCC)c2c(c1)[n+]([O-])c1ccccc1[n+]2[O-],IC50,2880.0,nM,=,5.54,CHEMBL6154546,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv assessed as bacterial growth inhibition measured after 1 week by MABA assay,,2025,CHEMBL6153049,CHEMBL360,0,Mtb_whole_cell,,5.54,CCOC(=O)COc1cc(OCC(=O)OCC)c2c(c1)[n+]([O-])c1ccccc1[n+]2[O-]
CHEMBL6165683,CC(=O)Oc1cc(OC(C)=O)c2c(c1)[n+]([O-])c1ccccc1[n+]2[O-],IC50,5001.0,nM,=,5.3,CHEMBL6154546,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv assessed as bacterial growth inhibition measured after 1 week by MABA assay,,2025,CHEMBL6153049,CHEMBL360,0,Mtb_whole_cell,,5.3,CC(=O)Oc1cc(OC(C)=O)c2c(c1)[n+]([O-])c1ccccc1[n+]2[O-]
