MW,cLogP,TPSA,HBD,HBA,RotB,RingCount,AromRings,FracCsp3,HeavyAtoms,FormalCharge,QED,BertzCT,NumHeteroatoms,StereoCentres,dataset,mol_id,smiles,pchembl,n_meas,endpoints,scaffold,Lipinski_viol,Veber_ok
285.387,4.889500000000004,55.480000000000004,2,3,7,2,2,0.3333333333333333,21,0,0.5622569028925712,581.1810514043303,3,0,InhA_enzyme,CHEMBL404984,CCCCCCc1ccc(Oc2cccc(N)c2)c(O)c1,7.48,2,IC50|Ki,c1ccc(Oc2ccccc2)cc1,0,1
357.4060000000001,4.330400000000004,95.86,3,4,8,2,2,0.3,26,0,0.4826020471123721,772.5468996978852,6,0,InhA_enzyme,CHEMBL263646,CCCCCCc1ccc(Oc2cccc(NC(=O)C(=O)O)c2)c(O)c1,7.62,2,IC50|Ki,c1ccc(Oc2ccccc2)cc1,0,1
380.44400000000013,5.547600000000005,84.59,2,5,9,3,3,0.2727272727272727,28,0,0.475631701247008,906.6600389368417,6,0,InhA_enzyme,CHEMBL405653,CCCCCCc1ccc(Oc2cccc(NC(=O)c3ccno3)c2)c(O)c1,7.46,2,IC50|Ki,O=C(Nc1cccc(Oc2ccccc2)c1)c1ccno1,1,1
327.42400000000004,5.265700000000005,58.56,2,3,8,2,2,0.35,24,0,0.6496822678606192,682.3342206480377,4,0,InhA_enzyme,CHEMBL404983,CCCCCCc1ccc(Oc2cccc(NC(C)=O)c2)c(O)c1,7.125,2,IC50|Ki,c1ccc(Oc2ccccc2)cc1,1,1
315.369,5.215500000000005,72.60000000000001,1,4,8,2,2,0.3333333333333333,23,0,0.4118030550631589,669.8212033516031,5,0,InhA_enzyme,CHEMBL264416,CCCCCCc1ccc(Oc2cccc([N+](=O)[O-])c2)c(O)c1,7.68,3,IC50|Ki,c1ccc(Oc2ccccc2)cc1,1,1
270.372,5.307300000000005,29.46,1,2,7,2,2,0.3333333333333333,20,0,0.6909888613288232,520.1963609588256,2,0,InhA_enzyme,CHEMBL264682,CCCCCCc1ccc(Oc2ccccc2)c(O)c1,8.48,2,IC50|Ki,c1ccc(Oc2ccccc2)cc1,1,1
349.26800000000003,6.069800000000005,29.46,1,2,7,2,2,0.3333333333333333,21,0,0.6148880327281895,581.1810514043303,3,0,InhA_enzyme,CHEMBL4177124,CCCCCCc1ccc(Oc2ccccc2Br)c(O)c1,8.85,2,IC50|Ki,c1ccc(Oc2ccccc2)cc1,1,1
295.382,5.1789800000000055,53.25,1,3,7,2,2,0.3157894736842105,22,0,0.7160108409792055,658.7250262385188,3,0,InhA_enzyme,CHEMBL3360252,CCCCCCc1ccc(Oc2ccccc2C#N)c(O)c1,7.65,2,IC50|Ki,c1ccc(Oc2ccccc2)cc1,1,1
284.399,5.615720000000006,29.46,1,2,7,2,2,0.3684210526315789,21,0,0.6689441633876879,575.5290786748639,2,0,InhA_enzyme,CHEMBL1236225,CCCCCCc1ccc(Oc2ccccc2C)c(O)c1,6.94,7,IC50|Ki,c1ccc(Oc2ccccc2)cc1,1,1
382.54800000000023,5.054700000000007,35.94,1,4,9,3,2,0.5,28,0,0.615440107304347,739.1350492173652,4,0,InhA_enzyme,CHEMBL408149,CCCCCCc1ccc(Oc2ccccc2CN2CCN(C)CC2)c(O)c1,7.439999999999999,2,IC50|Ki,c1ccc(Oc2ccccc2CN2CCNCC2)cc1,1,1
